number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
128,0 days 00:00:00.246643,0.04170261168499408,0.2432678652576679,8,3292.9606564312594,0.12574378399685057,137
129,0 days 00:00:00.183081,0.031021052539884388,0.0035141485172762157,6,548.6885267986825,0.012922017311855867,95
130,0 days 00:00:00.138541,0.06282782205381128,0.15575806038894716,2,27.20707803965264,0.00946739268320175,75
131,0 days 00:00:00.132382,0.009314841590757137,0.015774687779258296,2,30.881794593178626,0.07326854133109535,55
132,0 days 00:00:00.184894,0.01422295220188469,0.3534504840037011,5,2.9760467058356266,0.07110329159410764,62
133,0 days 00:00:00.371111,0.018047236855758927,0.034580500785458365,5,428.4260364675501,0.022925830001845143,219
134,0 days 00:00:00.069301,0.09175521809111224,0.18483934427120374,5,156.6068050630926,0.23055992818554308,25
135,0 days 00:00:00.223821,0.039284717361355574,0.33626729229211305,3,69.15269933260079,0.01869447299684153,111
136,0 days 00:00:00.608890,0.017256390335182045,0.03277232139855693,6,1.0186931801705719,0.005353605736540647,39
137,0 days 00:00:00.162902,0.060483418994215644,0.09764331350624547,4,2.1397665064295786,0.01634182809520721,40
138,0 days 00:00:00.100324,0.00963303859581075,0.00514375627826603,4,3348.708536867534,0.37763738337152597,49
139,0 days 00:00:00.922567,0.12074921026750295,0.005476430465993002,3,4.575162780144284,0.060101856346210326,430
140,0 days 00:00:00.554921,0.18211687306235927,0.004093867352412855,6,912.5015336514149,0.2902041950988073,358
141,0 days 00:00:00.264596,0.03725404741399275,0.060262416156057486,6,39.66732012412778,0.011395144900684858,61
142,0 days 00:00:00.181755,0.01937323110260942,0.4608177192701213,6,15.570949532374618,0.021281497318582403,55
143,0 days 00:00:00.660280,0.0716106756690829,0.003073027683233614,7,34.75011654325666,0.1409541056829806,54
144,0 days 00:00:00.451862,0.10706839121251142,0.0019433384713426866,2,41.174371783216365,0.029801237579384472,159
145,0 days 00:00:01.347326,0.26422309581367154,0.05757097141563904,9,5.171588270867901,0.006035057801465836,464
146,0 days 00:00:00.195413,0.06348828679867237,0.03495004320971341,2,1.1558799880111394,0.39659457886601895,103
147,0 days 00:00:00.400068,0.0834280613843534,0.009137214766699764,8,174.08383228956967,0.05070351036603521,174
148,0 days 00:00:00.288434,0.006300540520209064,0.018019249520880565,7,55.100359352970976,0.020632014325491794,50
149,0 days 00:00:00.750346,0.0242087109170165,0.07017737766492661,5,17.912929298784558,0.00559351795611762,346
150,0 days 00:00:00.595576,0.1550963768171833,0.001364580020610593,2,4.498679082660014,0.2739281145179869,228
151,0 days 00:00:00.347767,0.16786938942556864,0.1599743944391957,6,7.937700342900631,0.07108183661104406,156
152,0 days 00:00:00.315911,0.29462740482899974,0.05428247756226479,5,23.321429187105544,0.007330175946431438,75
153,0 days 00:00:00.459665,0.06159803780440498,0.02514078151338061,5,6.043610423163437,0.013988314866164402,42
154,0 days 00:00:00.258134,0.0740231797829067,0.06811504499060407,4,568.6151402352785,0.010531772597353233,154
155,0 days 00:00:00.303100,0.03831175296891536,0.01572786309558033,7,3.883418376455088,0.19974318500230367,24
156,0 days 00:00:00.601030,0.022422410265271243,0.008236022521764558,9,1.9010401218228488,0.39239499184460475,99
157,0 days 00:00:00.688515,0.04966985592888593,0.010288982630791223,8,46.29793166279141,0.07776898777467003,293
158,0 days 00:00:00.140038,0.21414975642387749,0.007510923034011826,8,557.2686318152723,0.0214484750931914,74
159,0 days 00:00:01.775823,0.008406266520651053,0.001832076981867647,6,3.012516040458752,0.15395970617885116,278
160,0 days 00:00:00.200276,0.043274490291987815,0.04229892442170445,8,460.88244499215034,0.1797325382860029,103
161,0 days 00:00:00.222912,0.13697407458700336,0.278597349126491,7,14.80466497208742,0.10559303130447627,84
162,0 days 00:00:00.435334,0.10288291340651749,0.09572970982675269,8,21.18865781269963,0.20474343075018858,239
163,0 days 00:00:00.051490,0.08558741150024064,0.031707929913627024,2,533.4653470055343,0.031208349457903982,23
164,0 days 00:00:00.732454,0.13335782903226098,0.0011160554107732582,2,10.811967945241737,0.024387122454783257,250
165,0 days 00:00:00.293990,0.00847434280607936,0.3550725831939951,8,5506.077736657427,0.05944830339129087,196
166,0 days 00:00:00.447245,0.3319709046697186,0.020711596058484705,2,16.375776697330963,0.011998391240966895,210
167,0 days 00:00:00.073933,0.0073905419551556295,0.04180434512231627,3,28.853008567103714,0.21699788631260583,28
168,0 days 00:00:01.151152,0.15125496347048392,0.014562180612152071,4,1.9214251189517113,0.006176294965567318,414
169,0 days 00:00:00.189629,0.22695085117846264,0.027071324972928856,4,3.713967605509447,0.0936969044330592,49
170,0 days 00:00:00.753039,0.3595495205770255,0.0012517658638046445,9,183.47507244598538,0.17196575051430615,196
